"name","val","label_en","label_fr"
"AGE_12","1","15 to 19","15 à 19"
"AGE_12","2","20 to 24","20 à 24"
"AGE_12","3","25 to 29","25 à 29"
"AGE_12","4","30 to 34","30 à 34"
"AGE_12","5","35 to 39","35 à 39"
"AGE_12","6","40 to 44","40 à 44"
"AGE_12","7","45 to 49","45 à 49"
"AGE_12","8","50 to 54","50 à 54"
"AGE_12","9","55 to 59","55 à 59"
"AGE_12","10","60 to 64","60 à 64"
"AGE_12","11","65 to 69","65 à 69"
"AGE_12","12","70 or more","70 et plus"
"AGE_6","1","15 to 16","15 à 16"
"AGE_6","2","17 to 19","17 à 19"
"AGE_6","3","20 to 21","20 à 21"
"AGE_6","4","22 to 24","22 à 24"
"AGE_6","5","25 to 26","25 à 26"
"AGE_6","6","27 to 29","27 à 29"
"AGYOWNKN","1","Youngest child less than 3","Plus jeune enfant moins de 3 ans"
"AGYOWNKN","2","Youngest child 3 to 5","Plus jeune enfant 3 à 5 ans"
"AGYOWNKN","3","Youngest child 6 to 12","Plus jeune enfant 6 à 12 ans"
"AGYOWNKN","4","Youngest child 13 to 15","Plus jeune enfant 13 à 15 ans"
"AGYOWNKN","5","Youngest child 16 to 17","Plus jeune enfant 16 à 17 ans"
"AGYOWNKN","6","Youngest child 18 to 24","Plus jeune enfant 18 à 24 ans"
"AVAILABL","1","Not available","Non disponible"
"AVAILABL","2","Yes, available","Oui, disponible"
"CMA","1","Montreal","Montréal"
"CMA","2","Toronto","Toronto"
"CMA","3","Vancouver","Vancouver"
"CMA","4","Other Census Metropolitan Area or non-Census Metropolitan Area","Autres régions métropolitaines de recensement ou non-régions métropolitaines de recensement"
"COWMAIN","1","Public employee","Employés du secteur public"
"COWMAIN","2","Private employee","Employés du secteur privé"
"COWMAIN","3","Private, self-employed incorporated with employees","Secteur privé, travailleurs indépendants, entreprise constituée en société, avec travailleurs"
"COWMAIN","4","Private, self-employed incorporated, no employees","Secteur privé, travailleurs indépendants, entreprise constituée en société, sans travailleurs"
"COWMAIN","5","Private, self-employed unincorporated with employees","Secteur privé, travailleurs indépendants, entreprise non constituée en société, avec travailleurs"
"COWMAIN","6","Private, self-employed unincorporated, no employees","Secteur privé, travailleurs indépendants, entreprise non constituée en société, sans travailleurs"
"COWMAIN","7","Private, unpaid family worker","Secteur privé, travailleurs familiaux non rémunérés"
"ED76TO89","0","0 to 8 years","0 à 8 ans"
"ED76TO89","1","9 to 10 years schooling","9 à 10 ans"
"ED76TO89","2","11 to 13 years schooling","11 à 13 ans"
"ED76TO89","3","Some post-secondary","Études postsecondaires partielles"
"ED76TO89","4","Post-secondary certificate or diploma","Certificat ou diplôme d'études postsecondaires"
"ED76TO89","5","University degree","Grade universitaire"
"EDUC90","0","0 to 8 years","0 à 8 ans"
"EDUC90","1","Some secondary","Études secondaires partielles"
"EDUC90","2","Grade 11 to 13 graduation","11 à 13 ans, diplôme d'études secondaires"
"EDUC90","3","Some post-secondary","Études postsecondaires partielles"
"EDUC90","4","Post-secondary certificate or diploma","Certificat ou diplôme d'études postsecondaires"
"EDUC90","5","University: bachelor's degree","Université : baccalauréat"
"EDUC90","6","University: graduate degree","Université : diplôme de 2e cycle"
"EFAMTYPE","1","Unattached individual","Personnes non apparentées"
"EFAMTYPE","2","Husband-wife dual earner couple, no children less than 25","Familles époux-épouse, deux revenus, pas d'enfants moins de 25"
"EFAMTYPE","3","Husband-wife dual earner couple, youngest child less than 18","Familles époux-épouse, deux revenus, plus jeune enfant moins de 18"
