"version","doi_eng","doi_fra","rebased"
"1976-01","doi:10.5683/SP3/IWJ3TB","doi:10.5683/SP3/M70WD1",""
"1976-02","doi:10.5683/SP3/J3EG0L","doi:10.5683/SP3/MCJ71C",""
"1976-03","doi:10.5683/SP3/TXJIJO","doi:10.5683/SP3/YTEE5H",""
"1976-04","doi:10.5683/SP3/HZ7NPC","doi:10.5683/SP3/7JYDJU",""
"1976-05","doi:10.5683/SP3/HOJIDC","doi:10.5683/SP3/D95ULG",""
"1976-06","doi:10.5683/SP3/ZKMYN5","doi:10.5683/SP3/7ZWLIV",""
"1976-07","doi:10.5683/SP3/O3LLJW","doi:10.5683/SP3/HLMZB5",""
"1976-08","doi:10.5683/SP3/BXFZHG","doi:10.5683/SP3/WOMS4B",""
"1976-09","doi:10.5683/SP3/W2FULW","doi:10.5683/SP3/NRJ45V",""
"1976-10","doi:10.5683/SP3/MT5RUE","doi:10.5683/SP3/RSB2WI",""
"1976-11","doi:10.5683/SP3/TRIGAK","doi:10.5683/SP3/ZMQGY2",""
"1976-12","doi:10.5683/SP3/Y8JIP5","doi:10.5683/SP3/DGGXYI",""
"1977-01","doi:10.5683/SP3/TXKDJX","doi:10.5683/SP3/NCGYGM",""
"1977-02","doi:10.5683/SP3/BTXSPJ","doi:10.5683/SP3/W53HOB",""
"1977-03","doi:10.5683/SP3/HWKIF3","doi:10.5683/SP3/H1JIEA",""
"1977-04","doi:10.5683/SP3/GUCZYA","doi:10.5683/SP3/ZJ5UND",""
"1977-05","doi:10.5683/SP3/EDT1VD","doi:10.5683/SP3/GETBZQ",""
"1977-06","doi:10.5683/SP3/MVDCCK","doi:10.5683/SP3/KVKO0M",""
"1977-07","doi:10.5683/SP3/ON9FQJ","doi:10.5683/SP3/ZWKANJ",""
"1977-08","doi:10.5683/SP3/QZQFGZ","doi:10.5683/SP3/VAYVWF",""
"1977-09","doi:10.5683/SP3/XMMO2F","doi:10.5683/SP3/NIN7LV",""
"1977-10","doi:10.5683/SP3/GVC42Y","doi:10.5683/SP3/JOJWX7",""
"1977-11","doi:10.5683/SP3/UIYZO0","doi:10.5683/SP3/XBQXYA",""
"1977-12","doi:10.5683/SP3/ZLLHV9","doi:10.5683/SP3/0FMKNI",""
"1978-01","doi:10.5683/SP3/7BEM3F","doi:10.5683/SP3/DLXLOZ",""
"1978-02","doi:10.5683/SP3/CI9H3T","doi:10.5683/SP3/AJQKTY",""
"1978-03","doi:10.5683/SP3/75RXOG","doi:10.5683/SP3/TE7LF2",""
"1978-04","doi:10.5683/SP3/N2RCLE","doi:10.5683/SP3/5EVJGO",""
"1978-05","doi:10.5683/SP3/COXRYK","doi:10.5683/SP3/HPP7MW",""
