"name","label_en","label_fr","type","decimals","missing_low","missing_high"
"REC_NUM","Order of record in file","Ordre de l'observation dans le fichier","numeric",0,,
"SURVYEAR","Survey year","Année d'enquête","character",,,
"SURVMNTH","Survey month","Mois de l'enquête","character",,,
"LFSSTAT","Labour force status","Situation vis-à-vis de l'activité","character",,,
"PROV","Province","Province","character",,,
"CMA","Three largest Census Metropolitan Areas","Trois plus grandes régions métropolitaines de recensement","character",,,
"AGE_12","Age of respondent (five year age groups)","Âge du répondant (groupes de cinq ans)","character",,,
"AGE_6","Age of respondent (two and three year age groups)","Âge du répondant (groupes de deux ou trois ans)","character",,,
"SEX","Sex of respondent","Sexe du répondant","character",,,
"MARSTAT","Marital status of respondent","État matrimonial du répondant","character",,,
"ED76TO89","Highest educational attainment - From 1976 to 1989","Plus haut niveau de scolarité atteint - 1976 à 1989","character",,,
"EDUC90","Highest educational attainment - Begins 1990","Plus haut niveau de scolarité atteint - Commence 1990","character",,,
"MJH","Multiple or single job holder","Cumul d'emplois ou non","character",,,
"EVERWORK","Not currently employed, worked in past","Ne travaillent pas présentement, ont déjà travaillé","character",,,
"FTPTLAST","Full or part-time status of last job","Situation du dernier emploi, temps plein ou partiel","character",,,
"COWMAIN","Class of worker, main job","Catégorie de travailleurs, emploi principal","character",,,
"NAICS_18","Industry of main job - NAICS 2007 (18 categories)","Branche d'activité de l'emploi principal - SCIAN 2007 (18 catégories)","character",,,
"NAICS_43","Industry of main job - NAICS 2007 (43 categories)","Branche d'activité de l'emploi principal - SCIAN 2007 (43 catégories)","character",,,
"SOC80_49","Occupation at main job - SOC80 - From 1984 to 1986","Profession à l'emploi principal - CTP 1980 - 1984 à 1986","character",,,
"SOC80_21","Occupation at main job - SOC80 - Ends in 1998","Profession à l'emploi principal - CTP 1980 - Fin en 1998","character",,,
"NOC01_25","Occupation at main job - NOCS S-2006 - Begins 1987 (25 categories)","Profession à l'emploi principal - CNP-S 2006 - Commence 1987 (25 catégories)","character",,,
"NOC01_47","Occupation at main job - NOCS S-2006 - Begins 1987 (47 categories)","Profession à l'emploi principal - CNP-S 2006 - Commence 1987 (47 catégories)","character",,,
"YABSENT","Employed: reason absent full week","Personnes occupées : raison de l'absence, semaine complète","character",,,
"WKSAWAY","Weeks absent from work","Semaines d'absence du travail","numeric",0,,
"PAYAWAY","Paid for any time off, full week absence only","Congé rémunéré, absence semaine complète seulement","character",,,
"UHRSMAIN","Usual hours per week at main job","Heures habituelles par semaine à l'emploi principal","numeric",0,,
"AHRSMAIN","Actual hours per week at main job","Heures effectivement travaillées par semaine à l'emploi principal","numeric",0,,
"FTPTMAIN","Full-time or part-time main or only job","Temps plein ou temps partiel, emploi principal ou seul","character",,,
"UTOTHRS","Usual hours per week at all jobs","Heures habituelles par semaine à tous les emplois","numeric",0,,
"ATOTHRS","Actual hours per week at all jobs","Heures effectivement travaillées par semaine à tous les emplois","numeric",0,,
"HRSAWAY","Hours away from work, employees, part-week only","Heures d'absence du travail, employés, partie de la semaine seulement","numeric",0,,
"YAWAY","Reason for part-week absence","Raison pour absence une partie de la semaine","character",,,
"PAIDOT","Paid overtime hours in reference week","Heures supplémentaires payées durant semaine de référence","numeric",0,,
"UNPAIDOT","Unpaid overtime hours in reference week","Heures supplémentaires non payées durant semaine de référence","numeric",0,,
