"name","val","label_en","label_fr"
"PROV","10","Newfoundland and Labrador","Terre-Neuve-et-Labrador"
"PROV","11","Prince Edward Island","Île-du-Prince-Édouard"
"PROV","12","Nova Scotia","Nouvelle-Écosse"
"PROV","13","New Brunswick","Nouveau-Brunswick"
"PROV","24","Quebec","Québec"
"PROV","35","Ontario","Ontario"
"PROV","46","Manitoba","Manitoba"
"PROV","47","Saskatchewan","Saskatchewan"
"PROV","48","Alberta","Alberta"
"PROV","59","British Columbia","Colombie-Britannique"
"AGE_12","1","15 to 19 years","15 à 19 ans"
"AGE_12","2","20 to 24 years","20 à 24 ans"
"AGE_12","3","25 to 29 years","25 à 29 ans"
"AGE_12","4","30 to 34 years","30 à 34 ans"
"AGE_12","5","35 to 39 years","35 à 39 ans"
"AGE_12","6","40 to 44 years","40 à 44 ans"
"AGE_12","7","45 to 49 years","45 à 49 ans"
"AGE_12","8","50 to 54 years","50 à 54 ans"
"AGE_12","9","55 to 59 years","55 à 59 ans"
"AGE_12","10","60 to 64 years","60 à 64 ans"
"AGE_12","11","65 to 69 years","65 à 69 ans"
"AGE_12","12","70 and over","70 et plus"
"AGE_6","1","15 to 16 years","15 à 16 ans"
"AGE_6","2","17 to 19 years","17 à 19 ans"
"AGE_6","3","20 to 21 years","20 à 21 ans"
"AGE_6","4","22 to 24 years","22 à 24 ans"
"AGE_6","5","25 to 26 years","25 à 26 ans"
"AGE_6","6","27 to 29 years","27 à 29 ans"
"EDUC","0","0 to 8 years","0 à 8 années"
"EDUC","1","Some high school","Études secondaires partielles"
"EDUC","2","High school graduate","Études secondaires complétées"
"EDUC","3","Some postsecondary","Études postsecondaires partielles"
"EDUC","4","Postsecondary certificate or diploma","Diplôme ou certificat d'études postsecondaires"
"EDUC","5","Bachelor's degree","Baccalauréat"
"EDUC","6","Above bachelor's degree","Diplôme ou certificat universitaire supérieur au baccalauréat"
"MJH","1","Single jobholder, including job changers","Personnes ayant un emploi, incluant ceux ayant changé d'emploi"
"MJH","2","Multiple jobholder","Personnes ayant plus d'un emploi"
"EVERWORK","1","Yes, within last year","Oui, au cours de la dernière année"
"EVERWORK","2","Yes, more than 1 year ago","Oui, il y a plus d'un an"
"EVERWORK","3","No, never worked","Non, n'ont jamais travaillé"
"FTPTLAST","1","Full-time (30 hours or more)","Temps plein (30 heures ou plus)"
"FTPTLAST","2","Part-time (less than 30 hours)","Temps partiel (moins de 30 heures)"
"COWMAIN","1","Public sector employees","Employés du secteur public"
"COWMAIN","2","Private sector employees","Employés du secteur privé"
"COWMAIN","3","Self-employed incorporated, with paid help","Entreprise constituée en société, avec aide rémunérée"
"COWMAIN","4","Self-employed incorporated, no paid help","Entreprise constituée en société, sans aide rémunérée"
"COWMAIN","5","Self-employed unincorporated, with paid help","Entreprise non constituée en société, avec aide rémunérée"
"COWMAIN","6","Self-employed unincorporated, no paid help","Entreprise non constituée en société, sans aide rémunérée"
"COWMAIN","7","Unpaid family worker","Travailleurs familiaux non rémunérés"
"YABSENT","0","Other reasons","Autres raisons"
"YABSENT","1","Own illness or disability","Maladie ou incapacité"
"YABSENT","2","Personal or family responsibilities","Obligations personnelles ou familiales"
"YABSENT","3","Vacation","Vacances"
"PAYAWAY","1","Yes","Oui"
"PAYAWAY","2","No","Non"
"FTPTMAIN","1","Full-time","Temps plein"
"FTPTMAIN","2","Part-time","Temps partiel"
"YAWAY","0","Other reasons","Autres raisons"
"YAWAY","1","Own illness or disability","Maladie ou incapacité"
"YAWAY","2","Personal or family responsibilities","Obligations personnelles ou familiales"
"YAWAY","3","Vacation or civic holiday","Vacances ou congés"
"YAWAY","4","Working short-time","Travail à temps réduit"
"WHYPT","0","Other reasons","Autres raisons"
"WHYPT","1","Own illness or disability","Maladie ou incapacité"
"WHYPT","2","Caring for children","Soins des enfants"
"WHYPT","3","Other personal or family responsibilities","Autres obligations personnelles ou familiales"
"WHYPT","4","Going to school","École"
"WHYPT","5","Personal preference","Choix personnel"
"WHYPT","6","Business conditions or could not find full-time work, looked for full-time work in last month","Conjoncture économique ou n'a pu trouver du travail à temps plein, a cherché du temps plein au cours du dernier mois"
"WHYPT","7","Business conditions or could not find full-time work, did not look for full-time work in last month","Conjoncture économique ou n'a pu trouver du travail à temps plein, n'a pas cherché du temps plein au cours du dernier mois"
"UNION","1","Union member","Membre d’un syndicat"
"UNION","2","Not a member but covered by a union contract or collective agreement","N’est pas membre d’un syndicat mais est couvert par une convention collective ou par un contrat de travail négocié par un syndicat"
"UNION","3","Non-unionized","Non syndiqué"
"PERMTEMP","1","Permanent","Permanents"
"PERMTEMP","2","Temporary, seasonal job","Temporaires, saisonniers"
"PERMTEMP","3","Temporary, term or contract job","Temporaires, à terme ou à contrat"
"PERMTEMP","4","Temporary, casual or other temporary jobs","Temporaires, occasionnels ou autres emplois temporaires"
"ESTSIZE","1","Less than 20 employees","Moins de 20 employés"
"ESTSIZE","2","20 to 99 employees","20 à 99 employés"
"ESTSIZE","3","100 to 500 employees","100 à 500 employés"
"ESTSIZE","4","More than 500 employees","Plus de 500 employés"
"FIRMSIZE","1","Less than 20 employees","Moins de 20 employés"
"FIRMSIZE","2","20 to 99 employees","20 à 99 employés"
"FIRMSIZE","3","100 to 500 employees","100 à 500 employés"
"FIRMSIZE","4","More than 500 employees","Plus de 500 employés"
"FLOWUNEM","1","Job losers, temporary layoff","Ont perdu leur emploi, mise à pied temporaire"
"FLOWUNEM","2","Job losers, permanent layoff","Ont perdu leur emploi, mise à pied permanente"
"FLOWUNEM","3","Job leavers","Ont quitté leur emploi"
"FLOWUNEM","4","Job leavers/losers (status unknown), worked more than 1 year ago","Ont perdu/quitté leur emploi (statut inconnu), ont travaillé il y a plus d'un an"
"FLOWUNEM","5","New entrants","Nouveaux entrants"
"FLOWUNEM","6","Re-entrants, worked 1 year ago or less","Rentrants, ont travaillé il y a un an ou moins"
"FLOWUNEM","7","Re-entrants, worked more than 1 year ago","Rentrants, ont travaillé il y a plus d'un an"
"FLOWUNEM","8","Future starts","Emploi devant commencer à une date future"
"UNEMFTPT","1","Full-time","Temps plein"
"UNEMFTPT","2","Part-time","Temps partiel"
"UNEMFTPT","3","Future starts","Emploi devant commencer à une date future"
"WHYLEFTO","0","Job leavers, other reasons","Ont quitté leur emploi, autres raisons"
"WHYLEFTO","1","Job leavers, own illness or disability","Ont quitté leur emploi, maladie ou incapacité"
"WHYLEFTO","2","Job leavers, personal or family responsibilities","Ont quitté leur emploi, obligations personnelles ou familiales"
"WHYLEFTO","3","Job leavers, going to school","Ont quitté leur emploi, vont à l'école"
"WHYLEFTO","4","Job losers, laid off","Ont perdu leur emploi, mis à pied"
"WHYLEFTO","5","Job leavers, retired","Ont quitté leur emploi, ont pris leur retraite"
"WHYLEFTN","0","Job leavers, other reasons","Ont quitté leur emploi, autres raisons"
"WHYLEFTN","1","Job leavers, own illness or disability","Ont quitté leur emploi, maladie ou incapacité"
"WHYLEFTN","2","Job leavers, caring for children","Ont quitté leur emploi, soins des enfants"
"WHYLEFTN","3","Job leavers, pregnancy","Ont quitté leur emploi, sont enceintes"
"WHYLEFTN","4","Job leavers, personal or family responsibilities","Ont quitté leur emploi, obligations personnelles ou familiales"
"WHYLEFTN","5","Job leavers, going to school","Ont quitté leur emploi, vont à l'école"
"WHYLEFTN","6","Job leavers, dissatisfied","Ont quitté leur emploi, insatisfaction"
"WHYLEFTN","7","Job leavers, retired","Ont quitté leur emploi, ont pris leur retraite"
"WHYLEFTN","8","Job leavers, business sold or closed down (self-employed)","Ont quitté leur emploi, ont vendu ou fermé l'entreprise (travailleurs autonomes)"
"WHYLEFTN","9","Job losers, end of seasonal job (employee)","Ont perdu leur emploi, fin de l'emploi saisonnier (employés)"
"WHYLEFTN","10","Job losers, end of temporary or casual (employee)","Ont perdu leur emploi, fin de l'emploi temporaire ou occasionnel (employés)"
"WHYLEFTN","11","Job losers, company moved or out of business (employee)","Ont perdu leur emploi, l'entreprise a déménagé ou a fermé (employés)"
"WHYLEFTN","12","Job losers, business conditions (employee)","Ont perdu leur emploi, conjoncture économique (employés)"
"WHYLEFTN","13","Job losers, dismissal or other reasons","Ont perdu leur emploi, congédiement ou autres raisons"
"AVAILABL","1","Not available","Non disponible"
"AVAILABL","2","Yes, available","Oui, disponible"
"LKPUBAG","1","Yes","Oui"
"LKEMPLOY","1","Yes","Oui"
"LKRELS","1","Yes","Oui"
"LKATADS","1","Yes","Oui"
"LKANSADS","1","Yes","Oui"
"LKOTHERN","1","Yes","Oui"
"PRIORACT","0","Other","Autre"
"PRIORACT","1","Working","Travaillaient"
"PRIORACT","2","Managing a home","Tenaient maison"
"PRIORACT","3","Going to school","Allaient à l'école"
"YNOLOOK","0","Wanted work, reason - other","Voulaient travailler, raison - autres"
"YNOLOOK","1","Wanted work, reason - own illness or disability","Voulaient travailler, raison - maladie ou incapacité"
"YNOLOOK","2","Wanted work, reason - caring for children","Voulaient travailler, raison - soins des enfants"
"YNOLOOK","3","Wanted work, reason - other personal or family responsibilities","Voulaient travailler, raison - autres obligations personnelles ou familiales"
"YNOLOOK","4","Wanted work, reason - school","Voulaient travailler, raison - école"
"YNOLOOK","5","Wanted work, reason - awaiting recall or reply","Voulaient travailler, raison - en attente d'un appel ou réponse"
"YNOLOOK","6","Wanted work, reason - discouraged","Voulaient travailler, raison - découragés"
"TLOLOOK","1","Yes","Oui"
"TLOLOOK","2","No","Non"
"EFAMTYPE","1","Person not in an economic family","Personne hors famille économique"
"EFAMTYPE","2","Dual-earner couple, no children or none under 25","Famille comptant un couple avec deux soutiens, pas d’enfant ou aucun enfant de moins de 25 ans"
"EFAMTYPE","3","Dual-earner couple, youngest child 0 to 17","Famille comptant un couple avec deux soutiens, dont le plus jeune enfant a entre 0 et 17 ans"
"EFAMTYPE","4","Dual-earner couple, youngest child 18 to 24","Famille comptant un couple avec deux soutiens, dont le plus jeune enfant a entre 18 et 24 ans"
"EFAMTYPE","5","Single-earner couple, man+ employed, no children or none under 25","Famille comptant un couple avec un homme+ comme soutien, pas d’enfant ou aucun enfant de moins de 25 ans"
"EFAMTYPE","6","Single-earner couple, man+ employed, youngest child 0 to 17","Famille comptant un couple avec un homme+ comme soutien, dont le plus jeune enfant a entre 0 et 17 ans"
"EFAMTYPE","7","Single-earner couple, man+ employed, youngest child 18 to 24","Famille comptant un couple avec un homme+ comme soutien, dont le plus jeune enfant a entre 18 et 24 ans"
"EFAMTYPE","8","Single-earner couple, woman+ employed, no children or none under 25","Famille comptant un couple avec une femme+ comme soutien, pas d’enfant ou aucun enfant de moins de 25 ans"
"EFAMTYPE","9","Single-earner couple, woman+ employed, youngest child 0 to 17","Famille comptant un couple avec une femme+ comme soutien, dont le plus jeune enfant a entre 0 et 17 ans"
"EFAMTYPE","10","Single-earner couple, woman+ employed, youngest child 18 to 24","Famille comptant un couple avec une femme+ comme soutien, dont le plus jeune enfant a entre 18 et 24 ans"
"EFAMTYPE","11","Non-earner couple, no children or none under 25","Famille comptant un couple sans soutien, pas d’enfant ou aucun enfant de moins de 25 ans"
"EFAMTYPE","12","Non-earner couple, youngest child 0 to 17","Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 0 et 17 ans"
"EFAMTYPE","13","Non-earner couple, youngest child 18 to 24","Famille comptant un couple sans soutien, dont le plus jeune enfant a entre 18 et 24 ans"
