"name","source","source_var","source_val","val"
"PROV","LFS_HIST","PROV","10","10"
"PROV","LFS_HIST","PROV","11","11"
"PROV","LFS_HIST","PROV","12","12"
"PROV","LFS_HIST","PROV","13","13"
"PROV","LFS_HIST","PROV","24","24"
"PROV","LFS_HIST","PROV","35","35"
"PROV","LFS_HIST","PROV","46","46"
"PROV","LFS_HIST","PROV","47","47"
"PROV","LFS_HIST","PROV","48","48"
"PROV","LFS_HIST","PROV","59","59"
"PROV","LFS","PROV","10","10"
"PROV","LFS","PROV","11","11"
"PROV","LFS","PROV","12","12"
"PROV","LFS","PROV","13","13"
"PROV","LFS","PROV","24","24"
"PROV","LFS","PROV","35","35"
"PROV","LFS","PROV","46","46"
"PROV","LFS","PROV","47","47"
"PROV","LFS","PROV","48","48"
"PROV","LFS","PROV","59","59"
"AGE_12","LFS_HIST","AGE_12","1","1"
"AGE_12","LFS_HIST","AGE_12","2","2"
"AGE_12","LFS_HIST","AGE_12","3","3"
"AGE_12","LFS_HIST","AGE_12","4","4"
"AGE_12","LFS_HIST","AGE_12","5","5"
"AGE_12","LFS_HIST","AGE_12","6","6"
"AGE_12","LFS_HIST","AGE_12","7","7"
"AGE_12","LFS_HIST","AGE_12","8","8"
"AGE_12","LFS_HIST","AGE_12","9","9"
"AGE_12","LFS_HIST","AGE_12","10","10"
"AGE_12","LFS_HIST","AGE_12","11","11"
"AGE_12","LFS_HIST","AGE_12","12","12"
"AGE_12","LFS","AGE_12","1","1"
"AGE_12","LFS","AGE_12","2","2"
"AGE_12","LFS","AGE_12","3","3"
"AGE_12","LFS","AGE_12","4","4"
"AGE_12","LFS","AGE_12","5","5"
"AGE_12","LFS","AGE_12","6","6"
"AGE_12","LFS","AGE_12","7","7"
"AGE_12","LFS","AGE_12","8","8"
"AGE_12","LFS","AGE_12","9","9"
"AGE_12","LFS","AGE_12","10","10"
"AGE_12","LFS","AGE_12","11","11"
"AGE_12","LFS","AGE_12","12","12"
"AGE_6","LFS_HIST","AGE_6","1","1"
"AGE_6","LFS_HIST","AGE_6","2","2"
"AGE_6","LFS_HIST","AGE_6","3","3"
"AGE_6","LFS_HIST","AGE_6","4","4"
"AGE_6","LFS_HIST","AGE_6","5","5"
"AGE_6","LFS_HIST","AGE_6","6","6"
"AGE_6","LFS","AGE_6","1","1"
"AGE_6","LFS","AGE_6","2","2"
"AGE_6","LFS","AGE_6","3","3"
"AGE_6","LFS","AGE_6","4","4"
"AGE_6","LFS","AGE_6","5","5"
"AGE_6","LFS","AGE_6","6","6"
"EDUC","LFS_HIST","EDUC90","0","0"
"EDUC","LFS_HIST","EDUC90","1","1"
"EDUC","LFS_HIST","EDUC90","2","2"
"EDUC","LFS_HIST","EDUC90","3","3"
"EDUC","LFS_HIST","EDUC90","4","4"
"EDUC","LFS_HIST","EDUC90","5","5"
"EDUC","LFS_HIST","EDUC90","6","6"
"EDUC","LFS","EDUC","0","0"
"EDUC","LFS","EDUC","1","1"
"EDUC","LFS","EDUC","2","2"
"EDUC","LFS","EDUC","3","3"
"EDUC","LFS","EDUC","4","4"
"EDUC","LFS","EDUC","5","5"
"EDUC","LFS","EDUC","6","6"
"MJH","LFS_HIST","MJH","1","1"
"MJH","LFS_HIST","MJH","2","2"
"MJH","LFS","MJH","1","1"
"MJH","LFS","MJH","2","2"
"EVERWORK","LFS_HIST","EVERWORK","1","1"
"EVERWORK","LFS_HIST","EVERWORK","2","2"
"EVERWORK","LFS_HIST","EVERWORK","3","3"
"EVERWORK","LFS","EVERWORK","1","1"
"EVERWORK","LFS","EVERWORK","2","2"
"EVERWORK","LFS","EVERWORK","3","3"
"FTPTLAST","LFS_HIST","FTPTLAST","1","1"
"FTPTLAST","LFS_HIST","FTPTLAST","2","2"
"FTPTLAST","LFS","FTPTLAST","1","1"
"FTPTLAST","LFS","FTPTLAST","2","2"
"COWMAIN","LFS_HIST","COWMAIN","1","1"
"COWMAIN","LFS_HIST","COWMAIN","2","2"
"COWMAIN","LFS_HIST","COWMAIN","3","3"
"COWMAIN","LFS_HIST","COWMAIN","4","4"
"COWMAIN","LFS_HIST","COWMAIN","5","5"
