"name","label_en","label_fr","type","lfs_hist","lfs","lfs_scale","hist_from"
"SOURCE","Source series","Série source","character",,,,
"SURVYEAR","Survey year","Année d'enquête","integer","SURVYEAR","SURVYEAR",,
"SURVMNTH","Survey month","Mois de l'enquête","integer","SURVMNTH","SURVMNTH",,
"PROV","Province","Province","factor","PROV","PROV",,
"AGE_12","Five-year age group of respondent","L'âge du répondant (groupes de 5 ans)","factor","AGE_12","AGE_12",,
"AGE_6","Age in 2 and 3 year groups, 15 to 29","L'âge des personnes de 15 à 29 ans (groupes de 2 et 3 ans)","factor","AGE_6","AGE_6",,
"EDUC","Highest educational attainment","Plus haut niveau de scolarité atteint","factor","EDUC90","EDUC",,
"MJH","Single or multiple jobholder","Personnes ayant un emploi ou plus d'un emploi","factor","MJH","MJH",,
"EVERWORK","Identifies if a person has worked in the last year","Indique si une personne a travaillé au cours de la dernière année","factor","EVERWORK","EVERWORK",,
"FTPTLAST","Full- or part-time status of last job","Situation du dernier emploi, temps plein ou temps partiel","factor","FTPTLAST","FTPTLAST",,
"COWMAIN","Class of worker, main job","Catégorie de travailleur, emploi principal","factor","COWMAIN","COWMAIN",,
"YABSENT","Reason of absence, full week","Raison d'absence, toute la semaine","factor","YABSENT","YABSENT",,
"PAYAWAY","Paid for time off, full-week absence only","Congé rémunéré, absence de toute la semaine seulement","factor","PAYAWAY","PAYAWAY",,
"FTPTMAIN","Full- or part-time status at main or only job","Temps plein ou temps partiel, emp. princ. ou seul emploi","factor","FTPTMAIN","FTPTMAIN",,
"YAWAY","Reason for part-week absence","Raison pour l'absence durant une partie de la semaine","factor","YAWAY","YAWAY",,
"WHYPT","Reason for part-time work","Raison pour le travail à temps partiel","factor","WHYPTNEW","WHYPT",,
"UNION","Union status","Situation syndicale","factor","UNION","UNION",,
"PERMTEMP","Job permanency","La permanence de l'emploi","factor","PERMTEMP","PERMTEMP",,
"ESTSIZE","Establishment size","Taille de l’établissement","factor","ESTSIZE","ESTSIZE",,
"FIRMSIZE","Firm size","Taille de l’entreprise","factor","FIRMSIZE","FIRMSIZE",,
"FLOWUNEM","Flows into unemployment","Flux d'entrée en chômage","factor","FLOWUNEM","FLOWUNEM",,
"UNEMFTPT","Job seekers by type of work sought and temporary layoffs by work status of last job","Personnes à la recherche d’un emploi : type d’emploi cherché; mises à pied temporaire : la situation applicable relativement à l’emploi précédent","factor","UNEMFTPT","UNEMFTPT",,
"WHYLEFTO","Reason for leaving job during previous year","Raisons pour avoir quitté l'emploi durant l'année précédente","factor","WHYLEFTO","WHYLEFTO",,
"WHYLEFTN","Reason for leaving job during previous year","Raisons pour avoir quitté l'emploi durant l'année précédente","factor","WHYLEFTN","WHYLEFTN",,
"AVAILABL","Availability during the reference week","Disponibilité durant la semaine de référence","factor","AVAILABL","AVAILABL",,
"LKPUBAG","Unemployed, used public employment agency","Chômeurs, recherche par l'entremise d'une agence de placement publique","factor","LKPUBAG","LKPUBAG",,
"LKEMPLOY","Unemployed, checked with employers directly","Chômeurs, recherche directement auprès des employeurs","factor","LKEMPLOY","LKEMPLOY",,
